id,title,genre,similarity
13,【翻唱】Phony - ツミキ _ 町田千麻(Cover).mp3,"Hardcore, Industrial Metal, Electronic, Aggressive, Energetic -> J-Pop, Anime Song, Cover, Vocal, Upbeat",0.0
14,【flower】猛毒【かいりきベア】.mp3,"J-Pop, Anime Song, Cover, Vocal, Upbeat -> Synthpop, Electronic, Catchy, Groovy, Dance",0.0
15,【中文字幕】somunia - Emerge.mp3,"Synthpop, Electronic, Catchy, Groovy, Dance -> Electronic, Synthpop, Atmospheric, Dreamy, Ambient",0.39999999999999997
16,X. THE FLOWER （Song by 小仓唯）娜塔夏（小仓唯）.mp3,"Electronic, Synthpop, Atmospheric, Dreamy, Ambient -> J-Pop, Anime Song, Emotional, Ballad, Vocals",0.0
17,かねこちはる - TEmPTaTiON.mp3,"J-Pop, Anime Song, Emotional, Ballad, Vocals -> J-Pop, Idol Pop, Catchy, Energetic, Upbeat",0.2886751345948129
214,【异世界情绪】日文翻唱《運命_命运》.mp3,"J-Pop, Vocal, Cover, Upbeat, Energetic -> J-Pop, Pop Rock, Emotional, Rock, Vocal, Cover",0.5393598899705937
215,【异世界情绪】#07 《とめどなき白情_无法停止的白情》.mp3,"J-Pop, Pop Rock, Emotional, Rock, Vocal, Cover -> J-Pop, Emotional, Upbeat, Vocals, Original",0.40451991747794525
216,【歌ってみた】白昼夢 covered by ヰ世界情緒.mp3,"J-Pop, Emotional, Upbeat, Vocals, Original -> J-Pop, Emotional, Ballad, Vocal, Cover",0.39999999999999997
217,BetoRtallu - かたぎり(katagiri) - STRONG 280（Long ver.）.mp3,"J-Pop, Emotional, Ballad, Vocal, Cover -> Hardcore, Electronic, Experimental, Ambient, Atmospheric",0.0
218,【初音ミク ＆ 可不】成为空【MIMI】.mp3,"Hardcore, Electronic, Experimental, Ambient, Atmospheric -> J-Pop, Vocaloid, Electronic, Upbeat, Catchy",0.19999999999999998
219,【Mili】Ga1ahad and Scientific Witchery.mp3,"J-Pop, Vocaloid, Electronic, Upbeat, Catchy -> Electronic, Experimental, Vocaloid, Avant-Garde, Atmospheric",0.36514837167011077
