id,title,genre,similarity
13,【めぐ】Flyer!.mp3,"J-Pop, Vocaloid, Cover, Upbeat, Energetic -> J-Pop, Anime Song, Upbeat, Energetic, Vocals",0.5477225575051662
14,【東方神霊廟】～ 聖徳伝説 ～ True Administrator ～.mp3,"J-Pop, Anime Song, Upbeat, Energetic, Vocals -> J-Pop, Anime Song, Upbeat, Energetic, Instrumental",0.8333333333333336
15,ギターと孤独と蒼い惑星.mp3,"J-Pop, Anime Song, Upbeat, Energetic, Instrumental -> Rock, Indie, Energetic, Vocals, Emotional",0.18257418583505539
16,はじめてのチュウ.mp3,"Rock, Indie, Energetic, Vocals, Emotional -> J-Pop, Idol Pop, Upbeat, Energetic, Vocals",0.3162277660168379
17,【官方】King Gnu - 《白日》MV（日剧《冤罪律师》主题曲）.mp3,"J-Pop, Idol Pop, Upbeat, Energetic, Vocals -> J-Pop, Rock, Emotional, Ballad, Vocals",0.47434164902525683
214,USAO-WildFire.mp3,"Hardcore, J-Core, Electronic, Rave, Energetic -> Hardcore, J-Core, Electronic, Rave, High-Energy",0.7302967433402215
215,X. THE FLOWER （Song by 小仓唯）娜塔夏（小仓唯）.mp3,"Hardcore, J-Core, Electronic, Rave, High-Energy -> J-Pop, Anime Song, Emotional, Ballad, Vocals",0.0
216,Hellfish - The Decimator.mp3,"J-Pop, Anime Song, Emotional, Ballad, Vocals -> Industrial Hardcore, Experimental Rock, Atmospheric, Electronic",0.0
217,Kobaryo - SUPER REACTOR X [feat. HiTNEX-X].flac,"Industrial Hardcore, Experimental Rock, Atmospheric, Electronic -> Speedcore, Hardcore, J-Core, Electronic, High-Energy",0.3333333333333334
218,Strange Arrival - Plastic Death.mp3,"Speedcore, Hardcore, J-Core, Electronic, High-Energy -> Industrial Metal, Cyberpunk, Experimental Rock, Dark Electronica, Atmospheric",0.0
219,Strange Arrival - Interior Deterioration.mp3,"Industrial Metal, Cyberpunk, Experimental Rock, Dark Electronica, Atmospheric -> Industrial Metal, Dark Ambient, Experimental Rock, Electronic, Atmospheric",0.7499999999999999
